1 1
2 4
3 4
4 7
5 13
6 20
7 32
8 57
9 114
10 218
11 358
12 638
13 1126
14 1979
15 3473
16 5991
17 10367
18 18092
19 30736
20 50928
21 80619
22 119673
23 164211
24 205952
25 238699
26 260067
27 272734
28 280041
29 284265
30 286749
31 287883
32 288524
33 289046
34 289555
35 289719
36 289797
37 289884
38 290101
39 290103
40 290129
41 289920
42 290100
43 290120
44 290260
45 290315
46 290201
47 290273
48 290126
49 289860
50 290021
51 290059
52 290260
53 290218
54 290281
55 290137
56 290163
57 290269
58 290203
59 290472
60 290393
61 290453
62 290174
63 289935
64 290114
65 290274
66 290301
67 290229
68 290373
69 290190
70 290147
71 290048
72 290120
73 290270
74 290271
75 290287
76 290168
77 290048
78 290207
79 289999
80 290183
81 290082
82 290296
83 290354
84 290139
85 290088
